GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxkb9u,40.89386,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34896,İstanbul,,,Marmara Bölgesi,,Mimar Sinan Caddesi,,Velibaba Mahallesi,,Pendik,
sxkf60,41.179504,29.273071,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Beykoz,Göllü Mahallesi
sxk9zh,41.113586,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34800,İstanbul,,,Marmara Bölgesi,,82. Sokak,,Görele Mahallesi,,Beykoz,
sxk58b,41.39923,28.163452,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Hallaçlı Binkılıç Yolu,,Atatürk Mahallesi,,Çatalca,Hallaçlı Mahallesi
sxk35y,40.992737,28.64685,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34520,İstanbul,,,Marmara Bölgesi,,,,Barış Mahallesi,,Beylikdüzü,
sxk1ss,41.06964,28.328247,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34590,İstanbul,,,Marmara Bölgesi,,,,Selimpaşa Mahallesi,,Silivri,
sxkbtq,40.904846,29.415894,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34959,İstanbul,,,Marmara Bölgesi,,Gezgin Sk.,,Tepeören Mahallesi,,Tuzla,
sxk6hs,41.15753,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34281,İstanbul,,,Marmara Bölgesi,,,,,,Arnavutköy,Sazlıbosna Mahallesi
sxkf57,41.15204,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Karakiraz Mahallesi
sxkch3,40.96527,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916,İstanbul,,,Marmara Bölgesi,,Kurtdoğmuş Yolu Caddesi,,,,Pendik,Kurna Mahallesi
sxk65x,41.17401,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34555,İstanbul,,,Marmara Bölgesi,,Hadımköy Dursunköy Caddesi,,Hadımköy Mahallesi,,Arnavutköy,Dursunköy Mahallesi
sxk32g,41.020203,28.515015,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530,İstanbul,,,Marmara Bölgesi,,,,Güzelce Mahallesi,,Büyükçekmece,
sxk5xc,41.404724,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Ormanlı Mahallesi
sxk530,41.355286,28.174438,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570,İstanbul,,,Marmara Bölgesi,,Hallaçlı Aydınlar Yolu,,Atatürk Mahallesi,,Çatalca,Aydınlar Mahallesi
sxkfhk,41.15753,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Karakiraz Mahallesi
sxk4qu,41.201477,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,Sümer Caddesi,,,,Çatalca,İnceğiz Mahallesi
