GEOHASH,NUMBER_OF_VEHICLES,LATITUDE,LONGITUDE
sxk3ek,2652661,41.06964111328125,28.6248779296875
sxk3em,2722792,41.07513427734375,28.6248779296875
sxk3eq,2592883,41.08062744140625,28.6248779296875
sxk3er,3413631,41.08612060546875,28.6248779296875
sxk3eu,2807605,41.06964111328125,28.6468505859375
sxk3ev,2941495,41.07513427734375,28.6468505859375
sxk3ew,1051156,41.08062744140625,28.6358642578125
sxk3ex,3583788,41.08612060546875,28.6358642578125
sxk3ey,1432571,41.08062744140625,28.6468505859375
sxk3ez,1276982,41.08612060546875,28.6468505859375
sxk3f5,2699924,41.10809326171875,28.5699462890625
sxk3f6,623122,41.10260009765625,28.5809326171875
sxk3f7,2266520,41.10809326171875,28.5809326171875
sxk3fd,2220872,41.10260009765625,28.5919189453125
sxk3ff,2194950,41.10260009765625,28.6029052734375
sxk3g1,1545118,41.09710693359375,28.6138916015625
sxk3g2,1146561,41.09161376953125,28.6248779296875
sxk3g3,1414432,41.09710693359375,28.6248779296875
sxk3g4,1434992,41.10260009765625,28.6138916015625
sxk3g8,3209099,41.09161376953125,28.6358642578125
sxk3gb,1085785,41.09161376953125,28.6468505859375
sxk3gk,828145,41.11358642578125,28.6248779296875
sxk3gm,2816886,41.11907958984375,28.6248779296875
sxk3gq,2865268,41.12457275390625,28.6248779296875
sxk3gr,2367046,41.13006591796875,28.6248779296875
sxk3gs,2062973,41.11358642578125,28.6358642578125
sxk3he,1881241,40.97625732421875,28.6798095703125
sxk3hs,1868424,40.98175048828125,28.6798095703125
sxk3ht,1915992,40.98724365234375,28.6798095703125
sxk3hv,1016527,40.98724365234375,28.6907958984375
sxk3hw,3886961,40.99273681640625,28.6798095703125
sxk3hx,4220455,40.99822998046875,28.6798095703125
sxk3hy,1119722,40.99273681640625,28.6907958984375
sxk3hz,6102296,40.99822998046875,28.6907958984375
sxk3j7,1139413,40.97625732421875,28.7127685546875
sxk3je,950758,40.97625732421875,28.7237548828125
sxk3jg,7809820,40.97625732421875,28.7347412109375
sxk3jh,1226470,40.98175048828125,28.7017822265625
sxk3jj,1921253,40.98724365234375,28.7017822265625
sxk3jk,1448501,40.98175048828125,28.7127685546875
sxk3jm,6012479,40.98724365234375,28.7127685546875
sxk3jn,4397797,40.99273681640625,28.7017822265625
sxk3jp,8466135,40.99822998046875,28.7017822265625
sxk3jq,7751224,40.99273681640625,28.7127685546875
sxk3jr,1417201,40.99822998046875,28.7127685546875
sxk3js,8355418,40.98175048828125,28.7237548828125
sxk3jt,7748088,40.98724365234375,28.7237548828125
sxk3ju,6602504,40.98175048828125,28.7347412109375
sxk3jw,954657,40.99273681640625,28.7237548828125
sxk3k1,7024546,41.00921630859375,28.6578369140625
sxk3k2,6344323,41.00372314453125,28.6688232421875
sxk3k3,3599739,41.00921630859375,28.6688232421875
sxk3k8,11321508,41.00372314453125,28.6798095703125
sxk3k9,5364730,41.00921630859375,28.6798095703125
sxk3kb,5510928,41.00372314453125,28.6907958984375
sxk3kd,4298299,41.01470947265625,28.6798095703125
sxk3ke,5246860,41.02020263671875,28.6798095703125
sxk3kf,2470926,41.01470947265625,28.6907958984375
sxk3kg,1506105,41.02020263671875,28.6907958984375
sxk3ks,7048677,41.02569580078125,28.6798095703125
sxk3kt,2583758,41.03118896484375,28.6798095703125
sxk3ku,2634682,41.02569580078125,28.6907958984375
sxk3kv,4582931,41.03118896484375,28.6907958984375
sxk3kw,2059790,41.03668212890625,28.6798095703125
sxk3kx,2538814,41.04217529296875,28.6798095703125
sxk3ky,5599866,41.03668212890625,28.6907958984375
sxk3kz,5850636,41.04217529296875,28.6907958984375
sxk3m0,2481860,41.00372314453125,28.7017822265625
sxk3m1,2613638,41.00921630859375,28.7017822265625
sxk3m2,1492093,41.00372314453125,28.7127685546875
sxk3m4,887252,41.01470947265625,28.7017822265625
sxk3n5,8115224,40.97625732421875,28.7457275390625
sxk3nh,5480014,40.98175048828125,28.7457275390625
sxk3nk,7823173,40.98175048828125,28.7567138671875
sxk3ns,3264497,40.98175048828125,28.7677001953125
sxk3nt,8756113,40.98724365234375,28.7677001953125
sxk3nv,7658924,40.98724365234375,28.7786865234375
sxk3nw,1419648,40.99273681640625,28.7677001953125
sxk3nx,1012660,40.99822998046875,28.7677001953125
sxk3ny,1463385,40.99273681640625,28.7786865234375
