GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxkdr7,41.195984,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34825.0,İstanbul,,,Marmara Bölgesi,,Anadolufeneri Yolu,,,,Beykoz,Anadolufeneri Mahallesi,28492
sxk8xv,40.899353,29.174194,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34862.0,İstanbul,,,Marmara Bölgesi,,İncekaya Sokağı,,Atalar Mahallesi,,Kartal,,28453
sxkc3v,41.03119,29.262085,TR-34,,Özyeğin Üniversitesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34794.0,İstanbul,,,Marmara Bölgesi,,Nişantepe Caddesi,,Nişantepe Mahallesi,,Çekmeköy,,28465
sxk99t,41.075134,28.899536,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34250.0,İstanbul,,,Marmara Bölgesi,,540/4. Sokak,,Yeni Mahalle Mahallesi,,Gaziosmanpaşa,,28488
sxk4py,41.168518,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Kaleiçi Mahallesi,,Çatalca,,28472
sxk97x,41.042175,28.987427,TR-34,,,,,Harbiye Mahallesi,,,Türkiye,tr,,,,,,,,36,,,,,,,,,,34367.0,İstanbul,Taşkışla,,Marmara Bölgesi,,Cumhuriyet Caddesi,,Harbiye,,Şişli,,28495
sxkc5e,40.976257,29.33899,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,,,,,Pendik,Emirli Mahallesi,28061
sxk3w7,41.064148,28.756714,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34307.0,İstanbul,,,Marmara Bölgesi,,Çetin Sokağı,,Altınşehir Mahallesi,,Başakşehir,,28500
sxkf26,41.19049,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Anadolufeneri Mahallesi,28486
sxk93q,41.036682,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34220.0,İstanbul,,,Marmara Bölgesi,,Merve Sokağı,,Yavuz Selim Mahallesi,,Esenler,,28495
sxk1b9,41.097107,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,Çanta Caddesi,,Semizkumlar Mahallesi,,Silivri,Alipaşa Mahallesi,28404
sxk9dk,41.06964,28.932495,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34065.0,İstanbul,,,Marmara Bölgesi,,Vardar Bulvarı,,Karadolap Mahallesi,,Eyüpsultan,,28456
sxk3g8,41.091614,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34555.0,İstanbul,,,Marmara Bölgesi,,Hadımköy-İstanbul Caddesi,,Ömerli Mahallesi,,Arnavutköy,,28460
sxk9sy,41.080627,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34342.0,İstanbul,,,Marmara Bölgesi,,Özlemli Sokağı,,Bebek Mahallesi,,Beşiktaş,,28199
sxk9s8,41.04767,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,15 Temmuz Şehitler Köprüsü,,,,,34347.0,İstanbul,,,Marmara Bölgesi,,15 Temmuz Şehitler Köprüsü,,Ortaköy Mahallesi,,Beşiktaş,,28497
sxk97d,41.01471,28.987427,TR-34,,,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34122.0,İstanbul,,,Marmara Bölgesi,,Kennedy Caddesi,,Cankurtaran Mahallesi,,Fatih,,28180
sxk9ts,41.06964,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34815.0,İstanbul,,,Marmara Bölgesi,,Hekimbaşı Çiftlik Caddesi,merkan otomativ servis,Yeni Mahalle Mahallesi,,Beykoz,,28266
sxkdt1,41.228943,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,Sazlıdere Sokak,,Demirciköy Mahallesi,,Sarıyer,,28491
