Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
Nurtepe Taksi-1,41.0758,28.9587,,Kâğıthane,,İstanbul,Marmara Bölgesi,34406,Nurtepe Mahallesi
GEÇİT TAKSİ DURAĞI,41.020875668,28.5818745990001,Londra Asfaltı,Büyükçekmece,,İstanbul,Marmara Bölgesi,34500,19 Mayıs Mahallesi
MALTEPE 2574 ADA 53 PARSEL ÖNÜ,40.9522076,29.119949214,,Maltepe,,İstanbul,Marmara Bölgesi,34854,Aydınevler Mahallesi
TOPSELVİ MERKEZ TAKSİ,40.8901000010001,29.2183,Balkan Caddesi,Kartal,,İstanbul,Marmara Bölgesi,34873,
ZORLU CENTER TAKSİ,41.0678280430001,29.016272723,Koru Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34340,Levazım Mahallesi
ŞEN TAKSİ DURAĞI,40.964787201,29.0990763,Kozyatağı Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34742,Kozyatağı Mahallesi
İSPARK - PENDİK İDO İSKELE ÖNÜ,40.875426901,29.2360808,Sahil Bulvarı,Pendik,,İstanbul,Marmara Bölgesi,34890,Batı Mahallesi
MAT CENTER,41.062809961,28.848423756,Matbaacılar 3. Cadde,Bağcılar,,İstanbul,Marmara Bölgesi,34218,100. Yıl Mahallesi
ZİVERBEY TAKSİ,40.987199999,29.0411999990001,Yıldız Rona Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34724,Zühtüpaşa Mahallesi
Kanyon Taksi - 1,41.0783,29.0087000010001,Ecza Sokağı,Şişli,,İstanbul,Marmara Bölgesi,34394,Esentepe Mahallesi
SOYAK TAKSİ DURAĞI,40.9963683010001,29.0702644,Ünalan Caddesi,Üsküdar,,İstanbul,Marmara Bölgesi,34700,Ünalan Mahallesi
AĞAOĞLU İSTANBUL TAKSİ,41.0654663010001,28.7765678910001,O-3 Güney Yanyolu,Başakşehir,,İstanbul,Marmara Bölgesi,34490,Ziya Gökalp Mahallesi
