Name,LineId,LineName,Description,Order,IsActive,FunctionalCode,Latitude,Longitude,RailType
ALIBEYKOY METRO ISTASYONU,14,T5,Alibeyköy Metro İstasyonu,13,,M-T05-S-H-I-13,41.07848,28.949459,Tramway
ALIBEYKOY CEP OTOGARI,14,T5,Alibeyköy Cep Otogarı,14,,M-T05-S-H-I-14,41.086915,28.943988,Tramway
KABATAS,4,F1,Kabataş,1,,M-F01-S-H-I-01,41.0338745666,28.9922350785,Funicular
TAKSIM,4,F1,Taksim,2,,M-F01-S-H-I-02,41.0366994647,28.9868190279,Funicular
ISKELE CAMII,12,T3,İskele Cami,1,,M-T03-S-H-I-01,40.989941,29.022135,Tramway
CARSI,12,T3,Çarşı,2,,M-T03-S-H-I-02,40.991075,29.025428,Tramway
ALTIYOL,12,T3,Altıyol,3,,M-T03-S-H-I-03,40.99003,29.029066,Tramway
BAHARIYE,12,T3,Bahariye,4,,M-T03-S-H-I-04,40.987932,29.028593,Tramway
KILISE,12,T3,Kilise,5,,M-T03-S-H-I-05,40.986078,29.027885,Tramway
MODA ILKOKULU,12,T3,Moda İlkokulu,6,,M-T03-S-H-I-06,40.98411,29.026652,Tramway
MODA CADDESI,12,T3,Moda Caddesi,7,,M-T03-S-H-I-07,40.983932,29.024892,Tramway
MUHURDAR,12,T3,Mühürdar,9,,M-T03-S-H-I-09,40.985098,29.021598,Tramway
DAMGA SOKAK,12,T3,Damga Sokak,10,,M-T03-S-H-I-10,40.987945,29.021009,Tramway
KADIKOY IDO,12,T3,Kadıköy İDO,11,,M-T03-S-H-I-11,40.989273,29.020977,Tramway
MACKA,15,TF1,Maçka,1,,M-TF1-S-H-I-01,41.0446506053,28.9936254852,Cable Car
TASKISLA,15,TF1,Taşkışla,2,,M-TF1-S-H-I-02,41.04367845791161,28.99034291338203,Cable Car
EYUP,16,TF2,Eyüp,1,,M-TF2-S-H-I-01,41.0505432043,28.9339131846,Cable Car
PIYERLOTI,16,TF2,Piyer Loti,2,,M-TF2-S-H-I-02,41.054193241,28.9327417801,Cable Car
OTOGAR,9,M1A,Otogar,11,,M-M1A-S-H-I-11,41.0401441651,28.8945600984,Metro
KOCATEPE,10,M1B,Kocatepe,12,True,M-M1B-S-H-I-12,41.0484928183,28.8953862076,Metro
SAGMALCILAR,10,M1B,Sağmalcılar,13,True,M-M1B-S-H-I-13,41.0408544497,28.9072352877,Metro
BAYRAMPASA,10,M1B,Bayrampaşa-Maltepe,14,True,M-M1B-S-H-I-14,41.0340978572,28.920238689,Metro
ULUBATLI,10,M1B,Topkapı-Ulubatlı,15,True,M-M1B-S-H-I-15,41.0240250582,28.9305034257,Metro
EMNIYET,10,M1B,Emniyet-Fatih,16,True,M-M1B-S-H-I-16,41.0176115439,28.9395963977,Metro
AKSARAY,10,M1B,Aksaray,17,True,M-M1B-S-H-I-17,41.0120281897,28.9480625565,Metro
YENIKAPI,10,M1B,Yenikapı,18,True,M-M1B-S-H-I-18,41.004755,28.952549,Metro
OTOGAR,10,M1B,Otogar,11,True,M-M1B-S-H-I-11,41.0401441651,28.8945600984,Metro
OLIMPIYAT,17,M9,Olimpiyat,1,,M-M09-S-H-I-01,41.07978582261958,28.768494442218014,Metro
ZIYA GOKALP MAHALLE,17,M9,Ziya Gökalp Mahallesi,2,,M-M09-S-H-I-02,41.07468683895818,28.786425453865895,Metro
IKITELLI SANAYI,17,M9,İkitelli Sanayi,3,,M-M09-S-H-I-03,41.071592188454204,28.80359489619547,Metro
MASKO,17,M9,Masko,4,,M-M09-S-H-I-04,41.064346478553354,28.804145099888043,Metro
BAHARIYE,17,M9,Bahariye,5,,M-M09-S-H-I-05,41.058692228126105,28.79921854037114,Metro
RIZAPASA,12,T3,Rıza Paşa,8,True,M-T03-S-H-I-08,40.984465405285626,29.023221050093916,Tramway
FEVZI CAKMAK,3,M4,Fevzi Çakmak-Hastane,20,True,M-M04-S-H-I-20,40.888913773148275,29.262377999300135,Metro
YAYALAR,3,M4,Yayalar-Şeyhli,21,True,M-M04-S-H-I-21,40.90415466320274,29.275928959686205,Metro
KURTKOY,3,M4,Kurtköy,22,True,M-M04-S-H-I-22,40.91061969898158,29.297057446459206,Metro
SABIHA GOKCEN,3,M4,Sabiha Gökçen Havalimanı,23,True,M-M04-S-H-I-23,40.90597411173135,29.310554150804887,Metro
ASIYAN,20,F4,Aşiyan,1,True,M-F04-S-H-I-01,41.0815736348652,29.05422416736053,Funicular
RUMELI HISARUSTU,20,F4,Boğaziçi Ü./Hisarüstü,2,True,M-F04-S-H-I-02,41.08486726284434,29.051021003065568,Funicular
PARSELLER,8,M8,Parseller,13,True,M-M08-S-H-I-13,41.03187863452558,29.152689072367757,Metro
ONURKENT,2,M3,Onurkent,4,,M-M03-S-H-I-12,41.079772,28.765577,Metro
SEHIR HASTANESI,2,M3,Şehir Hastanesi,3,,M-M03-S-H-I-13,41.079772,28.765577,Metro
TOPLU KONUTLAR,2,M3,Toplu Konutlar,2,,M-M03-S-H-I-14,41.079772,28.765577,Metro
KAYASEHIR MERKEZ,2,M3,Kayaşehir Merkez,1,,M-M03-S-H-I-15,41.079772,28.765577,Metro
