STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
129202,AYDINLAR KÖYÜ CAMİİ,Çatalca,SUBASI-BINKILIÇ,İETTCAMLI,41.3744300006108,28.2052449998657
100271,İSTANBUL CADDESİ ,Beylikdüzü,AVCILAR METROBÜS,İETTMODERN,40.9960580005524,28.6188439999696
109711,SAZLIBOSNA GİRİŞİ,Arnavutköy,ARNAVUTKÖY,AÇIK DURAK,41.1568290005784,28.6720829999739
109731,TAŞOLUK BELEDİYESİ,Arnavutköy,ARNAVUTKÖY,CCMODERN,41.2101530005872,28.7163739999771
109771,TAYAKADIN TEPE,Arnavutköy,ARNAVUTKÖY,İETTCAMLI,41.264417000596,28.6859409999746
204632,GAZİ CADDESİ,Sancaktepe,ALTUNIZADE,İETTBAYRAK,41.0036090005545,29.2391219999933
250141,KARTOPU SOKAK,Çayirova,KARTAL,AÇIK DURAK,40.8568960415634,29.3974139953316
117062,ORTANCA KONAKLARI ,Sariyer,BAHÇEKÖY,İETTBAYRAK,41.1910689564938,29.0293470112706
111831,DELİKLİKAYA,Arnavutköy,SON DURAK,CCMODERN,41.1114360005711,28.6541959999726
176172,BİLGEHAN SİTESİ,Silivri,SILIVRI,İETTCAMLI,41.0926609991101,28.0865079998629
206411,ŞEHİT OSMAN YILMAZ ANADOLU İMAM HATİP LİSESİ,Atasehir,FERHATPASA  19C,İSTON GENİŞ_İBB,40.9795140005506,29.1612279999923
221092,MEHMET AKİF ERSOY CADDESİ,Beykoz,SOGUKSU,İETTBAYRAK,41.1139130005721,29.1060799999913
209411,MENEKŞE SİTESİ,Sultanbeyli,PENDIK,İETTCAMLI,40.9336990005434,29.2792439999939
176731,İSTAÇ ÇEVRE LABORATUVARI,Eyüpsultan,AKPINAR,İETTBAYRAK,41.2177210005886,28.8343619999837
118611,ESERLER,Beyoglu,OKMEYDANI,İETTBAYRAK,41.0517370238818,28.9595010183528
201702,DÜZLÜK,Beykoz,ÜSKÜDAR 15KÇ,İETTCAMLI,41.0849370005674,29.1629379999922
